DateRep,UCI,NOUCI,NIVELII
07/01/20,0.777777777777778,0.666666666666667,
07/02/20,0.722222222222222,0.681159420289855,
07/03/20,0.722222222222222,0.681159420289855,
07/04/20,0.777777777777778,0.782608695652174,
07/05/20,0.888888888888889,0.681159420289855,
07/06/20,0.652173913043478,0.595959595959596,
07/07/20,0.608695652173913,0.656565656565657,
07/08/20,0.576923076923077,0.680412371134021,
07/09/20,0.538461538461538,0.711340206185567,
07/10/20,0.576923076923077,0.773195876288660,
07/11/20,0.807692307692308,0.752577319587629,
07/12/20,0.769230769230769,0.793814432989691,
07/13/20,0.807692307692308,0.411167512690355,
07/14/20,0.807692307692308,0.416243654822335,
07/15/20,0.769230769230769,0.461928934010152,
07/16/20,0.769230769230769,0.548223350253807,
07/17/20,0.730769230769231,0.644670050761421,
07/18/20,0.800000000000000,0.695431472081218,
07/19/20,0.760000000000000,0.741116751269036,
07/20/20,0.833333333333333,0.797297297297297,
07/21/20,0.875000000000000,0.783783783783784,
07/22/20,0.875000000000000,0.783783783783784,
07/23/20,0.840000000000000,0.801801801801802,
07/24/20,0.840000000000000,0.914414414414414,
07/25/20,0.920000000000000,0.909909909909910,
07/26/20,0.880000000000000,0.909909909909910,
07/27/20,0.880000000000000,0.945945945945946,
07/28/20,0.920000000000000,0.932432432432432,
07/29/20,0.920000000000000,0.981981981981982,
07/30/20,0.920000000000000,1.045045045045050,
07/31/20,0.960000000000000,1.090090090090090,
08/01/20,0.960000000000000,1.054054054054050,0.000000000000000
08/02/20,0.960000000000000,1.090090090090090,0.000000000000000
08/03/20,0.960000000000000,1.126126126126130,0.000000000000000
08/04/20,0.880000000000000,1.008547008547010,0.000000000000000
08/05/20,0.960000000000000,1.063973063973060,0.000000000000000
08/06/20,0.960000000000000,1.144781144781140,0.000000000000000
08/07/20,0.956521739130435,1.122186495176850,0.000000000000000
08/08/20,0.956521739130435,1.163987138263670,0.000000000000000
08/09/20,0.956521739130435,1.115755627009650,0.268041237113402
08/10/20,1.043478260869570,1.086816720257230,0.298969072164948
08/11/20,1.043478260869570,1.123417721518990,0.309278350515464
08/12/20,1.043478260869570,1.246835443037970,0.371134020618557
08/13/20,1.043478260869570,1.117816091954020,0.391752577319588
08/14/20,1.043478260869570,1.094827586206900,0.350515463917526
08/15/20,1.043478260869570,1.094827586206900,0.350515463917526
08/16/20,1.043478260869570,1.094827586206900,0.350515463917526
08/17/20,1.043478260869570,1.086206896551720,0.329896907216495
08/18/20,1.043478260869570,1.094827586206900,0.319587628865979
08/19/20,1.043478260869570,1.100574712643680,0.319587628865979
08/20/20,1.043478260869570,1.071839080459770,0.319587628865979
08/21/20,1.043478260869570,1.123209169054440,0.351648351648352
08/22/20,1.000000000000000,1.103151862464180,0.340659340659341
08/23/20,1.000000000000000,1.111747851002870,0.340659340659341
08/24/20,1.000000000000000,1.104651162790700,0.406593406593407
08/25/20,1.000000000000000,1.081871345029240,0.340659340659341
08/26/20,1.043478260869570,1.116959064327490,0.340659340659341
08/27/20,1.043478260869570,1.111111111111110,0.340659340659341
08/28/20,1.043478260869570,1.116959064327490,0.340659340659341
08/29/20,1.086956521739130,1.102339181286550,0.340659340659341
08/30/20,1.086956521739130,1.084795321637430,0.340659340659341
08/31/20,1.041666666666670,0.840909090909091,0.340206185567010
09/01/20,1.041666666666670,0.840909090909091,0.340206185567010
09/02/20,1.000000000000000,0.844632768361582,0.391752577319588
09/03/20,1.000000000000000,0.785326086956522,0.257731958762887
09/04/20,1.000000000000000,0.807017543859649,0.247422680412371
09/05/20,0.960000000000000,0.796992481203007,0.247422680412371
09/06/20,0.960000000000000,0.827067669172932,0.247422680412371
09/07/20,0.960000000000000,0.819548872180451,0.247422680412371
09/08/20,0.960000000000000,0.716791979949875,0.247422680412371
09/09/20,1.037037037037040,0.664302600472813,0.226804123711340
09/10/20,0.962962962962963,0.677184466019418,0.278350515463918
09/11/20,0.925925925925926,0.677184466019418,0.247422680412371
09/12/20,1.000000000000000,0.657766990291262,0.278350515463918
09/13/20,1.000000000000000,0.623786407766990,0.329896907216495
09/14/20,1.000000000000000,0.606796116504854,0.278350515463918
09/15/20,1.037037037037040,0.597087378640777,0.340206185567010
09/16/20,1.000000000000000,0.577669902912621,0.257731958762887
09/17/20,1.037037037037040,0.570388349514563,0.278350515463918
09/18/20,1.037037037037040,0.569587628865979,0.309278350515464
09/19/20,0.962962962962963,0.585051546391753,0.298969072164948
09/20/20,0.962962962962963,0.582474226804124,0.298969072164948
09/21/20,0.925925925925926,0.577319587628866,0.242990654205607
09/22/20,0.888888888888889,0.493297587131367,0.261682242990654
09/23/20,0.888888888888889,0.506702412868633,0.242990654205607
09/24/20,0.941176470588235,0.495978552278820,0.242990654205607
09/25/20,0.941176470588235,0.469168900804290,0.242990654205607
09/26/20,0.911764705882353,0.487935656836461,0.242990654205607
09/27/20,0.941176470588235,0.495978552278820,0.307692307692308
09/28/20,0.941176470588235,0.495978552278820,0.307692307692308
09/29/20,0.941176470588235,0.485254691689008,0.307692307692308
09/30/20,0.941176470588235,0.495978552278820,0.307692307692308
10/01/20,0.911764705882353,0.453083109919571,0.307692307692308
10/02/20,0.911764705882353,0.423592493297587,0.296703296703297
10/03/20,0.911764705882353,0.410187667560322,0.296703296703297
10/04/20,0.911764705882353,0.409972299168975,0.296703296703297
10/05/20,0.941176470588235,0.401662049861496,0.296703296703297
10/06/20,0.941176470588235,0.401662049861496,0.296703296703297
10/07/20,0.882352941176471,0.401662049861496,0.351648351648352
