fecha,UCI,NOUCI,NIVELII,UCIN
2020-07-01,.7777777777777778,.6666666666666666,,
2020-07-02,.7222222222222222,.6811594202898551,,
2020-07-03,.7222222222222222,.6811594202898551,,
2020-07-04,.7777777777777778,.7826086956521739,,
2020-07-05,.8888888888888888,.6811594202898551,,
2020-07-06,.6521739130434783,.5959595959595959,,
2020-07-07,.6086956521739131,.6565656565656566,,
2020-07-08,.5769230769230769,.6804123711340206,,
2020-07-09,.5384615384615384,.711340206185567,,
2020-07-10,.5769230769230769,.7731958762886598,,
2020-07-11,.8076923076923077,.7525773195876289,,
2020-07-12,.7692307692307693,.7938144329896907,,
2020-07-13,.8076923076923077,.4111675126903553,,
2020-07-14,.8076923076923077,.4162436548223351,,
2020-07-15,.7692307692307693,.4619289340101523,,
2020-07-16,.7692307692307693,.5482233502538071,,
2020-07-17,.7307692307692307,.6446700507614214,,
2020-07-18,.8,.6954314720812182,,
2020-07-19,.76,.7411167512690355,,
2020-07-20,.8333333333333334,.7972972972972973,,
2020-07-21,.875,.7837837837837838,,
2020-07-22,.875,.7837837837837838,,
2020-07-23,.84,.8018018018018018,,
2020-07-24,.84,.9144144144144144,,
2020-07-25,.92,.9099099099099099,,
2020-07-26,.88,.9099099099099099,,
2020-07-27,.88,.9459459459459459,,
2020-07-28,.92,.9324324324324325,,
2020-07-29,.92,.9819819819819819,,
2020-07-30,.92,1.045045045045045,,
2020-07-31,.96,1.09009009009009,,
2020-08-01,.96,1.054054054054054,0,
2020-08-02,.96,1.09009009009009,0,
2020-08-03,.96,1.126126126126126,0,
2020-08-04,.88,1.008547008547009,0,
2020-08-05,.96,1.063973063973064,0,
2020-08-06,.96,1.144781144781145,0,
2020-08-07,.9565217391304348,1.122186495176849,0,
2020-08-08,.9565217391304348,1.163987138263666,0,
2020-08-09,.9565217391304348,1.115755627009646,.2680412371134021,
2020-08-10,1.043478260869565,1.086816720257235,.2989690721649484,
2020-08-11,1.043478260869565,1.123417721518987,.3092783505154639,
2020-08-12,1.043478260869565,1.246835443037975,.3711340206185567,
2020-08-13,1.043478260869565,1.117816091954023,.3917525773195876,
2020-08-14,1.043478260869565,1.094827586206897,.3505154639175257,
2020-08-15,1.043478260869565,1.094827586206897,.3505154639175257,
2020-08-16,1.043478260869565,1.094827586206897,.3505154639175257,
2020-08-17,1.043478260869565,1.086206896551724,.3298969072164948,
2020-08-18,1.043478260869565,1.094827586206897,.3195876288659794,
2020-08-19,1.043478260869565,1.100574712643678,.3195876288659794,
2020-08-20,1.043478260869565,1.07183908045977,.3195876288659794,
2020-08-21,1.043478260869565,1.123209169054441,.3516483516483517,
2020-08-22,1,1.103151862464183,.3406593406593407,
2020-08-23,1,1.111747851002865,.3406593406593407,
2020-08-24,1,1.104651162790698,.4065934065934066,
2020-08-25,1,1.08187134502924,.3406593406593407,
2020-08-26,1.043478260869565,1.116959064327485,.3406593406593407,
2020-08-27,1.043478260869565,1.111111111111111,.3406593406593407,
2020-08-28,1.043478260869565,1.116959064327485,.3406593406593407,
2020-08-29,1.08695652173913,1.10233918128655,.3406593406593407,
2020-08-30,1.08695652173913,1.084795321637427,.3406593406593407,
2020-08-31,1.041666666666667,.8409090909090909,.3402061855670103,
2020-09-01,1.041666666666667,.8409090909090909,.3402061855670103,
2020-09-02,1,.844632768361582,.3917525773195876,
2020-09-03,1,.7853260869565217,.2577319587628866,
2020-09-04,1,.8070175438596491,.2474226804123711,
2020-09-05,.96,.7969924812030075,.2474226804123711,
2020-09-06,.96,.8270676691729323,.2474226804123711,
2020-09-07,.96,.8195488721804511,.2474226804123711,
2020-09-08,.96,.7167919799498746,.2474226804123711,
2020-09-09,1.037037037037037,.6643026004728132,.2268041237113402,
2020-09-10,.9629629629629629,.6771844660194175,.2783505154639175,
2020-09-11,.9259259259259259,.6771844660194175,.2474226804123711,
2020-09-12,1,.6577669902912622,.2783505154639175,
2020-09-13,1,.6237864077669902,.3298969072164948,
2020-09-14,1,.6067961165048543,.2783505154639175,
2020-09-15,1.037037037037037,.5970873786407767,.3402061855670103,
2020-09-16,1,.5776699029126213,.2577319587628866,
2020-09-17,1.037037037037037,.5703883495145631,.2783505154639175,
2020-09-18,1.037037037037037,.5695876288659794,.3092783505154639,
2020-09-19,.9629629629629629,.5850515463917526,.2989690721649484,
2020-09-20,.9629629629629629,.5824742268041238,.2989690721649484,
2020-09-21,.9259259259259259,.5773195876288659,.2429906542056075,
2020-09-22,.8888888888888888,.4932975871313673,.2616822429906542,
2020-09-23,.8888888888888888,.5067024128686327,.2429906542056075,
2020-09-24,.9411764705882353,.4959785522788204,.2429906542056075,
2020-09-25,.9411764705882353,.4691689008042895,.2429906542056075,
2020-09-26,.9117647058823529,.4879356568364611,.2429906542056075,
2020-09-27,.9411764705882353,.4959785522788204,.3076923076923077,
2020-09-28,.9411764705882353,.4959785522788204,.3076923076923077,
2020-09-29,.9411764705882353,.485254691689008,.3076923076923077,
2020-09-30,.9411764705882353,.4959785522788204,.3076923076923077,
2020-10-01,.9117647058823529,.4530831099195711,.3076923076923077,
2020-10-02,.9117647058823529,.4235924932975871,.2967032967032967,
2020-10-03,.9117647058823529,.4101876675603217,.2967032967032967,
2020-10-04,.9117647058823529,.4099722991689751,.2967032967032967,
2020-10-05,.9411764705882353,.4016620498614958,.2967032967032967,
2020-10-06,.9411764705882353,.4016620498614958,.2967032967032967,
2020-10-07,.8823529411764706,.4016620498614958,.3516483516483517,
2020-10-08,.9411764705882353,.4155124653739612,.3626373626373626,
